season,seasonPhase,date,gamePk,gameDate,venue,home,away,latitude,longitude,roof,weatherSource,matchedHour,temperatureF,feelsLikeF,humidity,precipitationProbability,precipitation,windMph,windDirection,windGustMph,pressureMsl,cloudCover,parkSurface,updatedAt
2026,regular,2026-04-01,823321,2026-04-01T20:10:00Z,Petco Park,SDP,SFG,32.7073,-117.1566,open,open_meteo_archive,2026-04-01T20:00,63.6,62.9,70,,,4.4,315,13.2,1015.3,38,grass,2026-05-07T07:59:53.734257+00:00
2026,regular,2026-04-01,823157,2026-04-01T20:10:00Z,T-Mobile Park,SEA,NYY,47.5914,-122.3325,retractable,open_meteo_archive,2026-04-01T20:00,46.4,39.2,84,,,12.2,200,28.6,997.8,16,turf,2026-05-07T07:59:54.394201+00:00
2026,regular,2026-04-01,824136,2026-04-01T23:40:00Z,Kauffman Stadium,KCR,MIN,39.0517,-94.4803,open,open_meteo_archive,2026-04-01T23:00,55.2,53.2,99,,0.161,8.4,79,20.1,1007.5,100,grass,2026-05-07T07:59:55.072843+00:00
2026,regular,2026-04-01,823970,2026-04-02T00:20:00Z,Dodger Stadium,LAD,CLE,34.0739,-118.24,open,open_meteo_archive,2026-04-01T00:00,60.8,62.7,95,,0.039,2.9,321,6.9,1014.1,100,grass,2026-05-07T07:59:55.751960+00:00
2026,regular,2026-04-02,824133,2026-04-02T18:10:00Z,Kauffman Stadium,KCR,MIN,39.0517,-94.4803,open,open_meteo_archive,2026-04-02T18:00,64.8,59.5,59,,,12.5,260,32.0,1005.7,13,grass,2026-05-07T07:59:56.399306+00:00
2026,regular,2026-04-02,825105,2026-04-03T01:40:00Z,Chase Field,ARI,ATL,33.4455,-112.0667,retractable,open_meteo_archive,2026-04-02T01:00,70.5,66.5,30,,,2.8,238,10.1,1010.1,,turf,2026-05-07T07:59:57.089452+00:00
2026,regular,2026-04-02,823242,2026-04-03T01:45:00Z,Oracle Park,SFG,NYM,37.7786,-122.3893,open,open_meteo_archive,2026-04-02T01:00,54.8,50.7,92,,0.067,11.4,286,29.3,1015.9,100,grass,2026-05-07T07:59:57.747120+00:00
2026,regular,2026-04-03,824621,2026-04-03T18:10:00Z,Rate Field,CHW,TOR,41.83,-87.6339,open,open_meteo_archive,2026-04-03T18:00,40.5,33.1,92,,,11.1,49,24.2,1021.0,100,grass,2026-05-07T07:59:58.382850+00:00
2026,regular,2026-04-03,822758,2026-04-03T17:05:00Z,Nationals Park,WSN,LAD,38.873,-77.0074,open,open_meteo_archive,2026-04-03T17:00,81.1,79.6,45,,,9.8,218,23.3,1020.7,95,grass,2026-05-07T07:59:59.042596+00:00
2026,regular,2026-04-03,824299,2026-04-03T17:10:00Z,Comerica Park,DET,STL,42.339,-83.0485,open,open_meteo_archive,2026-04-03T17:00,65.8,62.4,63,,,9.9,304,23.7,1017.5,100,grass,2026-05-07T07:59:59.719054+00:00
2026,regular,2026-04-03,824786,2026-04-03T18:10:00Z,Fenway Park,BOS,SDP,42.3467,-71.0972,open,open_meteo_archive,2026-04-03T18:00,64.9,61.9,66,,,9.6,222,22.1,1017.0,98,grass,2026-05-07T08:00:35.561460+00:00
2026,regular,2026-04-03,822919,2026-04-03T20:05:00Z,Globe Life Field,TEX,CIN,32.7473,-97.0842,retractable,open_meteo_archive,2026-04-03T20:00,72.2,76.8,78,,0.067,2.4,53,17.4,1012.3,100,turf,2026-05-07T08:00:36.244311+00:00
2026,regular,2026-04-03,824458,2026-04-03T20:10:00Z,Progressive Field,CLE,CHC,41.4962,-81.6852,open,open_meteo_archive,2026-04-03T20:00,56.8,56.1,90,,,4.6,244,2.9,1018.9,100,grass,2026-05-07T08:00:36.928490+00:00
2026,regular,2026-04-03,823732,2026-04-03T20:10:00Z,Target Field,MIN,TBR,44.9817,-93.2776,open,open_meteo_archive,2026-04-03T20:00,37.0,29.8,86,,0.083,8.6,64,19.9,1018.3,100,grass,2026-05-07T08:00:37.596605+00:00
